station_id,latitude,longitude,count
119,10,-18,1
120,10,-18,2
127,10,-18,42
143,10,-18,3
144,10,-18,1
146,10,-18,7
150,10,-18,9
157,10,-18,6
161,10,-18,9
167,10,-18,24
173,10,-18,10
174,10,-18,7
195,10,-18,50
2000,10,-18,7
2002,10,-18,8
2003,10,-18,18
2005,0,0,0
2009,10,-18,6
2012,10,-18,3
2017,10,-18,6
2021,10,-18,15
2022,10,-18,2
212,10,-18,22
216,10,-18,3
217,10,-18,3
223,10,-18,15
224,10,-18,22
236,10,-18,16
237,10,-18,10
238,10,-18,11
239,10,-18,4
241,10,-18,4
242,10,-18,3
243,10,-18,1
244,10,-18,5
245,10,-18,1
247,10,-18,14
248,10,-18,7
249,10,-18,17
251,10,-18,45
252,10,-18,9
254,10,-18,18
257,10,-18,20
258,10,-18,4
260,10,-18,7
261,10,-18,3
262,10,-18,3
264,10,-18,12
265,10,-18,10
266,10,-18,6
267,10,-18,9
270,10,-18,7
274,10,-18,2
275,10,-18,2
276,10,-18,82
278,10,-18,1
279,10,-18,10
280,10,-18,7
282,10,-18,3
289,10,-18,2
291,10,-18,6
295,10,-18,5
296,10,-18,5
297,10,-18,17
298,10,-18,3
301,10,-18,16
3016,10,-18,6
302,10,-18,10
3041,10,-18,1
3042,10,-18,2
3043,10,-18,0
3044,10,-18,0
3046,10,-18,1
3047,10,-18,2
3048,10,-18,1
3049,10,-18,2
305,10,-18,6
3050,10,-18,0
3052,10,-18,2
3053,10,-18,1
3054,10,-18,2
3055,10,-18,1
3056,10,-18,1
3057,10,-18,2
3058,10,-18,0
3059,10,-18,1
3060,10,-18,2
3061,10,-18,0
3062,10,-18,0
3063,10,-18,0
3064,10,-18,2
3065,10,-18,0
3066,10,-18,1
3067,10,-18,2
3068,10,-18,0
3069,10,-18,2
307,10,-18,18
3070,10,-18,1
3071,10,-18,1
3072,10,-18,1
3074,0,0,0
3075,10,-18,1
3076,10,-18,3
3077,10,-18,3
3078,10,-18,3
308,10,-18,4
3080,10,-18,4
3081,10,-18,2
3082,10,-18,2
3083,10,-18,1
3085,10,-18,2
3086,10,-18,3
3087,10,-18,2
3088,10,-18,1
3092,10,-18,5
3093,10,-18,9
3094,10,-18,2
3095,10,-18,1
3096,10,-18,3
310,10,-18,5
3100,10,-18,3
3101,10,-18,1
3102,10,-18,1
3105,10,-18,2
3106,10,-18,4
3107,10,-18,5
3108,10,-18,8
3109,10,-18,1
311,10,-18,18
3110,10,-18,6
3112,10,-18,4
3113,10,-18,4
3115,10,-18,5
3116,10,-18,3
3117,10,-18,4
3118,10,-18,5
3119,10,-18,4
312,10,-18,14
3121,10,-18,3
3122,10,-18,0
3123,10,-18,0
3124,10,-18,7
3125,10,-18,1
3126,10,-18,2
3127,10,-18,1
3128,10,-18,0
3129,10,-18,7
313,10,-18,3
3130,10,-18,2
3131,10,-18,5
3132,10,-18,16
3134,10,-18,6
3135,10,-18,4
3136,10,-18,1
3137,10,-18,5
3139,10,-18,4
314,10,-18,2
3140,10,-18,20
3141,10,-18,8
3142,10,-18,9
3143,10,-18,1
3145,10,-18,2
3146,10,-18,3
3148,10,-18,8
3150,10,-18,3
3151,10,-18,5
3152,10,-18,3
3154,10,-18,8
3155,10,-18,1
3156,10,-18,8
3157,10,-18,1
3158,10,-18,30
3159,10,-18,9
316,10,-18,5
3160,10,-18,8
3161,10,-18,5
3162,10,-18,5
3163,10,-18,14
3164,10,-18,12
3165,10,-18,13
3166,10,-18,13
3167,10,-18,15
3168,10,-18,9
3169,10,-18,5
317,10,-18,22
3170,10,-18,5
3171,10,-18,8
3172,10,-18,4
3173,10,-18,5
3175,10,-18,11
3177,10,-18,8
3178,10,-18,5
3179,10,-18,0
3182,10,-18,0
319,10,-18,6
320,10,-18,4
321,10,-18,4
3221,10,-18,0
3226,10,-18,3
323,10,-18,4
3231,10,-18,1
3232,10,-18,5
3235,10,-18,85
3236,10,-18,13
324,10,-18,1
3241,10,-18,2
3242,10,-18,3
3243,10,-18,2
